名称:疯狂动物城,类型:动画／动作／冒险,上映时间:2016-03-04
名称:小人物,类型:喜剧,上映时间:
名称:羞羞的铁拳,类型:喜剧／奇幻,上映时间:2017-09-30
名称:冰雪奇缘,类型:喜剧／动画／歌舞／奇幻,上映时间:2014-02-05
名称:侏罗纪世界2,类型:动作／冒险／科幻,上映时间:2018-06-15
名称:逃出绝命镇,类型:恐怖／惊悚／悬疑,上映时间:2017-01-23
名称:小黄人大眼萌：神偷奶爸前传,类型:喜剧／动画,上映时间:2021-07-02
名称:负重前行,类型:剧情／恐怖／悬疑,上映时间:2017-10-06
名称:角头2：王者再起,类型:剧情／动作／犯罪,上映时间:2018-02-15
名称:儿童警察 电影版,类型:喜剧／动作,上映时间:2013-03-20
名称:狮子王,类型:剧情／动画／冒险,上映时间:2019-07-12
名称:钢铁侠4,类型:剧情／动作／科幻,上映时间:
名称:湄公河行动,类型:剧情／动作／犯罪,上映时间:2016-09-30
名称:诛仙1,类型:古装／爱情／奇幻,上映时间:2019-09-13
名称:下一任：前任,类型:爱情,上映时间:2019-05-01
名称:老炮儿,类型:剧情／动作,上映时间:2015-12-24
名称:寻梦环游记,类型:动画／冒险／家庭,上映时间:2017-11-24
名称:惊悚,类型:短片,上映时间:2017-06-03
名称:蜡笔小新：激战！涂鸦王国和约四位勇士,类型:动画,上映时间:2020-04-24
名称:飞驰人生,类型:喜剧／动作,上映时间:2019-02-05
名称:黑帮大佬和我的365日,类型:情色,上映时间:2020-02-07
名称:终结者：黑暗命运,类型:动作／冒险／科幻,上映时间:2019-11-01
名称:蜘蛛侠：英雄归来,类型:动作／冒险／科幻,上映时间:2017-09-08
名称:阿丽塔：战斗天使,类型:动作／冒险／科幻,上映时间:2019-02-22
名称:盗墓笔记,类型:惊悚／悬疑／奇幻,上映时间:2016-08-05
名称:追龙Ⅱ,类型:犯罪／剧情／动作,上映时间:2019-06-06
名称:复仇者联盟2：奥创纪元,类型:动作／科幻／奇幻／冒险,上映时间:2015-05-12
名称:环太平洋：雷霆再起,类型:动作／冒险／科幻,上映时间:2018-03-23
名称:芳华,类型:剧情／爱情／战争,上映时间:2017-12-15
名称:蝙蝠侠：黑暗骑士崛起,类型:剧情／动作／科幻／惊悚／犯罪,上映时间:2012-08-27
名称:误杀瞒天记,类型:剧情／悬疑／犯罪,上映时间:2015-07-30
名称:让子弹飞,类型:剧情／喜剧／动作／西部,上映时间:2010-12-16
名称:哈利·波特禁忌之旅,类型:短片／冒险,上映时间:2010-06-18
名称:大侦探皮卡丘,类型:冒险／奇幻／喜剧,上映时间:2019-05-10
名称:盗梦空间,类型:剧情／科幻／悬疑／冒险,上映时间:2010-09-01
名称:使徒行者2：谍影行动,类型:剧情／动作／犯罪,上映时间:2019-08-07
名称:狄仁杰之四大天王,类型:动作／悬疑／奇幻／武侠／古装,上映时间:2018-07-27
名称:妖猫传,类型:爱情／奇幻,上映时间:2017-12-22
名称:饥饿站台,类型:科幻／惊悚,上映时间:2019-09-06
名称:王牌特工：特工学院,类型:喜剧／动作／冒险,上映时间:2015-03-27
名称:世界最大的影视城: 横店影视城,类型:纪录片,上映时间:2007-09-01
名称:惊天营救,类型:动作／惊悚／犯罪,上映时间:2020-04-24
名称:熊出没·变形记,类型:喜剧／动画／冒险,上映时间:2018-02-16
名称:罗小黑战记,类型:动画／动作／奇幻,上映时间:2019-09-07
名称:美丽人生,类型:战争／剧情／爱情,上映时间:2020-01-03
名称:拆弹·专家,类型:动作／悬疑／犯罪,上映时间:2017-04-28
名称:熊出没的开垦地,类型:动作,上映时间:1932-04-14
名称:正义联盟,类型:动作／冒险／科幻,上映时间:2017-11-17
名称:小丑回魂2,类型:剧情／恐怖／奇幻,上映时间:2019-09-06
名称:何以为家,类型:剧情,上映时间:2019-04-29
名称:从你的全世界路过,类型:喜剧／爱情,上映时间:2016-09-29
名称:杀破狼·贪狼,类型:剧情／动作／犯罪,上映时间:2017-08-17
名称:天堂电影院,类型:剧情／爱情,上映时间:1988-11-17
名称:怦然心动,类型:剧情／喜剧／爱情,上映时间:2010-07-26
名称:利刃出鞘,类型:剧情／悬疑／惊悚／犯罪,上映时间:2019-11-29
名称:一出好戏,类型:剧情／喜剧,上映时间:2018-08-10
名称:新世纪福音战士：真人版,类型:剧情／动作／科幻,上映时间:2019-06-21
名称:我的爸爸是森林之王Ⅱ,类型:喜剧／动画,上映时间:
名称:电影 Smile 光之美少女! 儿童图画书里的世界都不协调！,类型:动画,上映时间:2012-10-27
名称:寄生虫,类型:剧情／科幻,上映时间:2019-05-21
名称:“大”人物,类型:动作／犯罪,上映时间:2019-01-10
名称:追龙,类型:动作／犯罪,上映时间:2017-09-30
名称:加勒比海盗5：死无对证,类型:喜剧／动作／奇幻,上映时间:2017-05-26
名称:速度与激情6,类型:动作／惊悚／犯罪,上映时间:2013-07-26
名称:大话西游之大圣娶亲,类型:喜剧／爱情／奇幻／古装,上映时间:2014-10-24
名称:平凡老爸,类型:喜剧,上映时间:
名称:惊奇队长,类型:动作／冒险／科幻,上映时间:2019-03-08
名称:乐高蜘蛛侠：缠人的毒液,类型:动作／动画／短片,上映时间:2019-08-03
名称:悲伤逆流成河,类型:剧情／爱情／家庭,上映时间:2018-09-21
名称:蝙蝠侠大战超人：正义黎明,类型:动作／科幻／奇幻,上映时间:2016-03-25
名称:王牌特工2：黄金圈,类型:动作／冒险／喜剧,上映时间:2017-10-20
名称:封神传奇,类型:动作／奇幻／古装,上映时间:2016-07-29
名称:神奇女侠,类型:动作／冒险／奇幻,上映时间:2017-06-02
名称:无双,类型:动作／惊悚／犯罪,上映时间:2018-09-30
名称:命运之夜 无限剑制 Sunny Day,类型:动画,上映时间:2015-10-07
名称:西游记女儿国,类型:喜剧／爱情／动作,上映时间:2018-02-16
名称:末日崩塌,类型:动作／冒险／灾难,上映时间:2015-06-02
名称:肖申克的救赎,类型:剧情／犯罪,上映时间:1994-09-10
名称:变身特工,类型:喜剧／动作／科幻／动画／冒险,上映时间:2020-01-03
名称:功夫,类型:喜剧／动作／犯罪,上映时间:2004-12-23
名称:盗爱空间之私人电影,类型:爱情,上映时间:2016-05-10
名称:X战警：黑凤凰,类型:动作／冒险／科幻,上映时间:2019-06-06
名称:胖子行动队,类型:喜剧／动作,上映时间:2018-09-30
名称:那个瞬间，我很想哭,类型:剧情／爱情／音乐,上映时间:2019-11-08
名称:若能与你共乘海浪之上,类型:奇幻／爱情／动画,上映时间:2019-12-07
名称:风中有朵雨做的云,类型:剧情／悬疑／犯罪,上映时间:2019-04-04
名称:看不见的客人,类型:犯罪／悬疑／惊悚,上映时间:2017-09-15
名称:熊出没之雪岭熊风,类型:动画／喜剧／冒险,上映时间:2015-01-30
名称:碟中谍6：全面瓦解,类型:动作／惊悚／冒险,上映时间:2018-08-31
名称:同人哆啦A梦：大雄的喜马拉雅行进记,类型:动画,上映时间:2018-05-24
名称:人再囧途之泰囧,类型:喜剧,上映时间:2012-12-12
名称:摔跤吧！爸爸,类型:喜剧／动作／家庭,上映时间:2017-05-05
名称:小花仙大电影：奇迹少女,类型:动画／奇幻／歌舞,上映时间:
名称:紫罗兰永恒花园,类型:动画／短片,上映时间:2018-07-04
名称:巨齿鲨,类型:动作／冒险／科幻,上映时间:2018-08-10
名称:环太平洋,类型:动作／科幻／冒险,上映时间:2013-07-31
名称:第一滴血5：最后的血,类型:动作／冒险／惊悚,上映时间:2019-09-20
名称:流浪猫鲍勃,类型:剧情／喜剧／传记,上映时间:2018-11-02
名称:我想吃掉你的胰脏,类型:剧情／爱情／动画,上映时间:2019-01-18
名称:地久天长,类型:剧情,上映时间:2019-03-22
名称:野性的呼唤,类型:剧情／冒险,上映时间:1992-12-28
名称:犯罪现场,类型:犯罪／悬疑／剧情,上映时间:2019-10-12
名称:危城,类型:剧情／动作／犯罪,上映时间:2016-08-12
名称:寂静之地,类型:剧情／恐怖／惊悚,上映时间:2018-05-18
名称:勇敢者游戏2：再战巅峰,类型:动作／冒险,上映时间:2019-12-06
名称:老千2：神之手,类型:剧情／犯罪,上映时间:2014-09-03
名称:哥斯拉,类型:动作／科幻／冒险／灾难,上映时间:2014-06-13
名称:加勒比海盗4：惊涛怪浪,类型:动作／奇幻／冒险,上映时间:2011-05-20
名称:僵尸世界大战,类型:动作／科幻／恐怖,上映时间:2013-06-02
名称:全民目击,类型:悬疑／犯罪,上映时间:2013-09-13
名称:变形金刚3,类型:动作／科幻,上映时间:2011-07-21
名称:海市蜃楼,类型:悬疑／科幻／爱情,上映时间:2019-03-28
名称:最伟大的美国恐怖片,类型:恐怖／犯罪,上映时间:2004-10
名称:变形金刚4：绝迹重生,类型:动作／科幻,上映时间:2014-06-27
名称:决战中途岛,类型:剧情／历史／战争,上映时间:2019-11-08
名称:命运之夜——天之杯：恶兆之花,类型:剧情／动画／悬疑,上映时间:2019-01-11
名称:狐踪谍影,类型:动作／战争,上映时间:2020-01-10
名称:京剧猫：霸王折,类型:动画／冒险,上映时间:2019
名称:我的爸爸是森林之王,类型:喜剧／动画,上映时间:2017-10-14
名称:叶问3,类型:动作／历史／传记,上映时间:2016-03-04
名称:大话西游之月光宝盒,类型:喜剧／爱情／奇幻／古装,上映时间:2014-10-24
名称:名侦探柯南 十年后的陌生人,类型:动画,上映时间:2009-06-17
名称:爵迹,类型:奇幻／动作／冒险,上映时间:2016-09-30
名称:霸王别姬,类型:剧情／爱情,上映时间:1993-07-26
名称:春潮,类型:剧情／家庭,上映时间:2020-05-17
名称:大黄蜂,类型:动作／冒险／科幻,上映时间:2019-01-04
名称:头号玩家,类型:动作／冒险／科幻,上映时间:2018-03-30
名称:调音师,类型:悬疑／犯罪／喜剧,上映时间:2019-04-03
名称:漫威影业：宇宙集结,类型:纪录片,上映时间:2014-03-18
名称:变形金刚,类型:动作／科幻／惊悚,上映时间:2007-07-11
名称:名侦探柯南OVA11：来自伦敦的秘密指令,类型:爱情／冒险,上映时间:2011-06-01
名称:来电狂响,类型:剧情／喜剧,上映时间:2018-12-28
名称:隐形人,类型:科幻／惊悚／恐怖,上映时间:2020-02-28
名称:长江七号,类型:喜剧／奇幻／家庭,上映时间:2008-01-30
名称:只有芸知道,类型:剧情／爱情,上映时间:2019-12-20
名称:扫毒3,类型:剧情／动作／犯罪,上映时间:2019
名称:罪证子弹,类型:动作,上映时间:2020-06-19
名称:密室逃生,类型:惊悚／悬疑／犯罪,上映时间:2019-01-18
名称:捉妖记2,类型:喜剧／奇幻,上映时间:2018-02-16
名称:卢旺达饭店,类型:剧情／历史／战争,上映时间:2004-09-11
名称:扫毒,类型:剧情／犯罪,上映时间:2013-11-29
名称:生化危机：终章,类型:动作／惊悚／科幻,上映时间:2017-02-24
名称:疯狂进化人,类型:喜剧／动画,上映时间:2015-08
名称:猛禽小队和哈莉·奎茵,类型:动作／犯罪／冒险,上映时间:2020-02-05
名称:自杀小队,类型:动作／犯罪／奇幻,上映时间:2016-08-01
名称:帕克,类型:动作／惊悚／犯罪,上映时间:2013-01-25
名称:侏罗纪世界,类型:动作／冒险／科幻,上映时间:2015-06-10
名称:灰猎犬号,类型:剧情／战争,上映时间:2020-06-12
名称:驴得水,类型:剧情／喜剧,上映时间:2016-10-28
名称:香港地,类型:,上映时间:2019
名称:路人女主的养成方法 Fine,类型:喜剧／爱情／动画,上映时间:2019-10-26
名称:星球大战：最后的绝地武士,类型:动作／冒险／科幻,上映时间:2018-01-05
名称:受益人,类型:喜剧／爱情／犯罪,上映时间:2019-11-08
名称:请以你的名字呼唤我,类型:剧情／爱情,上映时间:2017-01-22
名称:儿童电影史话,类型:纪录片,上映时间:2013-05-17
名称:非凡任务,类型:剧情／动作／犯罪,上映时间:2017-03-31
名称:缝纫机乐队,类型:剧情／喜剧／音乐,上映时间:2017-09-29
名称:指环王1：护戒使者,类型:剧情／动作／奇幻／冒险,上映时间:2002-04-04
名称:蜘蛛侠：迷失复仇者,类型:喜剧／短片,上映时间:2015-10-29
名称:画皮,类型:剧情／爱情／惊悚／奇幻,上映时间:2008-09-26
名称:魁拔V,类型:动作／动画／奇幻／冒险,上映时间:
名称:玩具总动员4,类型:喜剧／动画／奇幻,上映时间:2019-06-21
名称:倩女幽魂,类型:奇幻／惊悚／古装,上映时间:2011-04-19
名称:天上再见,类型:战争／犯罪／剧情／喜剧,上映时间:2019-04-30
名称:海上钢琴师,类型:剧情／爱情／音乐,上映时间:2019-11-15
名称:出·路,类型:纪录片,上映时间:2017-12-30
名称:名侦探柯南：零的执行人,类型:动画／动作／悬疑,上映时间:2018-11-09
名称:牧马人,类型:剧情／爱情,上映时间:1982
名称:熊出没·奇幻空间,类型:动画／冒险,上映时间:2017-01-28
名称:钢铁侠,类型:动作／科幻／惊悚／冒险,上映时间:2008-04-30
名称:007：幽灵党,类型:动作／惊悚／冒险,上映时间:2015-11-13
名称:特警队,类型:动作／犯罪／剧情,上映时间:2019-12-27
名称:地球最后的夜晚,类型:剧情／爱情／悬疑,上映时间:2018-12-31
名称:负重前行,类型:恐怖／短片,上映时间:2013-02-17
名称:画皮2,类型:剧情／爱情／惊悚／奇幻,上映时间:2012-06-28
名称:苏乞儿,类型:剧情／动作／历史,上映时间:2010-02-09
